trial,records,skew_ratio,skew_percent,num_partitions,baseline_runtime,detection_runtime,mitigation_runtime,end_to_end_runtime,mitigation_speedup,end_to_end_speedup,num_skewed_partitions,hot_keys,mitigation_type,correctness
1,200000,0.1,10.0,10,0.5471354159963084,0.24954299999808427,0.4517907919944264,0.7013337919925107,1.2110371120690266,0.7801355392300149,1,[],salting,True
2,200000,0.1,10.0,10,0.2559538750065258,0.10712375000002794,0.34199775000161026,0.4491215000016382,0.7484080670276944,0.5698989583121542,1,[],salting,True
3,200000,0.1,10.0,10,0.2785652500024298,0.12541037499613594,0.3294895419967361,0.454899916992872,0.8454448912529955,0.6123660163402377,1,[],salting,True
1,200000,0.3,30.0,10,0.2520026249985676,0.08774995899875648,0.38028949999716133,0.4680394589959178,0.6626599603734752,0.5384217508908059,1,"[('K1', 75742)]",salting,True
2,200000,0.3,30.0,10,0.23750616700272076,0.07961208300548606,0.36262416699901223,0.4422362500044983,0.6549650812527553,0.5370572109371516,1,"[('K1', 75648)]",salting,True
3,200000,0.3,30.0,10,0.2859056250017602,0.08096645800105762,0.36704229199676774,0.44800874999782536,0.778944637268879,0.6381697344151157,1,"[('K1', 75878)]",salting,True
1,200000,0.5,50.0,10,0.40670070800115354,0.07549124999786727,0.3711785420018714,0.44666979199973866,1.0957010224990404,0.910517602232191,1,"[('K1', 111262)]",salting,True
2,200000,0.5,50.0,10,0.2487492500076769,0.10264583300158847,0.3530661670083646,0.45571200000995304,0.7045400359808016,0.5458474870142634,1,"[('K1', 111323)]",salting,True
3,200000,0.5,50.0,10,0.22221466699556913,0.07160004100296646,0.33806866699887905,0.4096687080018455,0.6573063069352888,0.5424252881783884,1,"[('K1', 111327)]",salting,True
1,200000,0.7,70.0,10,0.21816787499119528,0.08388829200703185,0.31110350000381004,0.3949917920108419,0.7012710399867678,0.5523352115256281,1,"[('K1', 146819)]",salting,True
2,200000,0.7,70.0,10,0.23288804199546576,0.08699295899714343,0.3357354579929961,0.4227284169901395,0.6936653143151895,0.5509164575536403,1,"[('K1', 146834)]",salting,True
3,200000,0.7,70.0,10,0.2224694169999566,0.07147529198846314,0.38691241599735804,0.4583877079858212,0.5749865028923644,0.48533024146196785,1,"[('K1', 146811)]",salting,True
1,200000,0.8,80.0,10,0.22131362500658724,0.10205341600521933,0.332073459008825,0.43412687501404434,0.6664598419493252,0.5097901967009704,1,"[('K1', 164560)]",salting,True
2,200000,0.8,80.0,10,0.23259879200486466,0.06893600001058076,0.30598983299569227,0.374925833006273,0.7601520276921724,0.6203861444804017,1,"[('K1', 164523)]",salting,True
3,200000,0.8,80.0,10,0.24054170899034943,0.06634466600371525,0.31349866700475104,0.3798433330084663,0.7672814410617703,0.6332655810625694,1,"[('K1', 164498)]",salting,True
